sno,age,job,salary,marital,education,housing,loan,,,
166,34,technician,60000,single,secondary,no,no,,,
167,38,admin.,50000,married,secondary,yes,no,,,
168,39,services,70000,married,secondary,yes,no,,,
169,41,services,70000,divorced,secondary,yes,no,,,
170,41,unemployed,8000,single,secondary,yes,no,,,
171,50,management,100000,divorced,tertiary,no,no,,,
172,39,blue-collar,20000,married,primary,yes,no,,,
173,30,services,70000,single,secondary,yes,no,,,
174,39,technician,60000,divorced,tertiary,yes,no,,,
175,55,technician,60000,single,tertiary,yes,no,,,
176,37,management,100000,single,tertiary,yes,no,,,
177,46,services,70000,divorced,secondary,yes,no,,,
178,41,management,100000,married,tertiary,yes,no,,,
179,31,student,4000,single,tertiary,yes,no,,,
180,38,management,100000,divorced,unknown,yes,no,,,
181,39,admin.,50000,married,secondary,yes,no,,,
182,44,admin.,50000,married,secondary,yes,yes,,,
183,35,blue-collar,20000,single,secondary,yes,no,,,
184,34,self-employed,60000,single,tertiary,yes,no,,,
185,36,technician,60000,single,tertiary,yes,no,,,
186,58,retired,55000,divorced,secondary,yes,no,,,
187,31,blue-collar,20000,divorced,primary,yes,no,,,
188,44,management,100000,married,secondary,yes,no,,,
189,41,admin.,50000,married,secondary,yes,no,,,
190,36,housemaid,16000,married,secondary,yes,no,,,
191,38,technician,60000,divorced,secondary,yes,no,,,
192,35,admin.,50000,single,secondary,yes,no,,,
193,57,technician,60000,divorced,primary,yes,no,,,
194,34,services,70000,divorced,tertiary,yes,yes,,,
195,34,blue-collar,20000,single,secondary,yes,no,,,
196,59,management,100000,married,primary,yes,no,,,
197,39,management,100000,divorced,primary,yes,no,,,
198,27,admin.,50000,single,secondary,yes,no,,,
199,31,blue-collar,20000,divorced,secondary,yes,no,,,
200,32,blue-collar,20000,single,secondary,yes,no,,,
201,55,management,100000,divorced,tertiary,yes,no,,,
202,41,admin.,50000,married,secondary,no,yes,,,
203,39,services,70000,married,secondary,yes,no,,,
204,41,management,100000,married,secondary,yes,no,,,
205,48,admin.,50000,married,secondary,yes,no,,,
206,52,blue-collar,20000,married,primary,no,no,,,
207,31,services,70000,married,secondary,yes,no,,,
208,53,admin.,50000,married,secondary,no,no,,,
209,38,admin.,50000,married,secondary,yes,yes,,,
210,36,technician,60000,divorced,secondary,yes,yes,,,
211,39,services,70000,married,secondary,yes,yes,,,
212,43,self-employed,60000,married,secondary,yes,no,,,
213,50,management,100000,married,tertiary,yes,no,,,
214,56,blue-collar,20000,single,primary,yes,no,,,
215,31,housemaid,16000,single,secondary,yes,no,,,
216,41,technician,60000,married,secondary,yes,yes,,,
217,31,services,70000,married,primary,yes,no,,,
218,52,blue-collar,20000,married,primary,no,no,,,
219,48,technician,60000,married,tertiary,yes,no,,,
220,45,management,100000,divorced,tertiary,yes,no,,,
221,42,admin.,50000,married,secondary,no,no,,,
222,40,blue-collar,20000,married,secondary,yes,no,,,
223,59,retired,55000,married,tertiary,yes,yes,,,
224,47,retired,55000,married,primary,no,yes,,,
225,34,technician,60000,married,tertiary,no,no,,,
226,24,services,70000,single,secondary,yes,no,,,
227,51,management,100000,married,tertiary,yes,no,,,
228,38,management,100000,divorced,tertiary,yes,no,,,
229,28,blue-collar,20000,single,primary,yes,no,,,
230,43,blue-collar,20000,married,secondary,yes,no,,,
231,36,technician,60000,married,secondary,yes,no,,,
232,35,student,4000,married,tertiary,yes,no,,,
233,34,blue-collar,20000,married,primary,yes,no,,,
234,30,blue-collar,20000,married,secondary,yes,no,,,
235,42,management,100000,married,tertiary,yes,yes,,,
236,40,services,70000,married,primary,yes,yes,,,
237,51,blue-collar,20000,married,secondary,yes,no,,,
238,50,services,70000,divorced,secondary,no,no,,,
239,37,services,70000,single,secondary,yes,no,,,
240,39,admin.,50000,married,secondary,yes,no,,,
241,36,blue-collar,20000,married,primary,yes,no,,,
242,38,blue-collar,20000,married,primary,yes,no,,,
243,32,blue-collar,20000,married,secondary,yes,no,,,
244,34,admin.,50000,married,secondary,yes,no,,,
245,43,blue-collar,20000,married,primary,no,no,,,
246,40,self-employed,60000,married,secondary,yes,no,,,
247,52,management,100000,single,tertiary,no,no,,,
248,34,self-employed,60000,single,tertiary,yes,no,,,
249,36,blue-collar,20000,married,secondary,yes,no,,,
250,38,blue-collar,20000,married,secondary,yes,no,,,
251,44,technician,60000,single,secondary,yes,no,,,
252,48,blue-collar,20000,married,primary,yes,no,,,
253,39,services,70000,married,primary,yes,no,,,
254,41,blue-collar,20000,married,secondary,yes,no,,,
255,44,technician,60000,divorced,secondary,yes,no,,,
256,55,blue-collar,20000,married,secondary,yes,no,,,
257,42,management,100000,married,secondary,yes,no,,,
258,34,services,70000,married,secondary,yes,no,,,
259,26,admin.,50000,married,secondary,yes,no,,,
260,36,technician,60000,married,secondary,yes,no,,,
261,36,unemployed,8000,married,primary,yes,no,,,
262,36,blue-collar,20000,married,secondary,yes,no,,,
263,54,blue-collar,20000,married,primary,yes,no,,,
264,50,blue-collar,20000,single,primary,yes,no,,,
265,49,retired,55000,married,secondary,yes,yes,,,
266,33,blue-collar,20000,married,primary,yes,no,,,
267,39,blue-collar,20000,married,secondary,yes,no,,,
268,29,management,100000,single,tertiary,yes,no,,,
269,34,blue-collar,20000,married,primary,yes,no,,,
270,51,services,70000,married,primary,yes,yes,,,
271,38,blue-collar,20000,married,primary,no,no,,,
272,38,self-employed,60000,single,tertiary,yes,no,,,
273,34,admin.,50000,divorced,secondary,yes,no,,,
274,42,services,70000,married,secondary,yes,yes,,,
275,42,admin.,50000,divorced,secondary,no,no,,,
276,37,management,100000,single,tertiary,yes,no,,,
277,30,blue-collar,20000,married,secondary,yes,no,,,
278,45,retired,55000,divorced,secondary,yes,no,,,
279,43,self-employed,60000,married,tertiary,yes,no,,,
280,56,management,100000,married,primary,yes,no,,,
281,57,management,100000,married,secondary,yes,no,,,
282,38,technician,60000,married,secondary,yes,no,,,
283,46,admin.,50000,divorced,primary,yes,no,,,
284,29,blue-collar,20000,married,secondary,yes,no,,,
285,36,technician,60000,married,secondary,yes,no,,,
286,46,blue-collar,20000,married,primary,yes,no,,,
287,34,technician,60000,single,secondary,yes,yes,,,
288,45,technician,60000,married,secondary,yes,no,,,
289,36,blue-collar,20000,single,secondary,yes,no,,,
290,43,entrepreneur,120000,married,primary,yes,yes,,,
291,55,management,100000,married,tertiary,yes,no,,,
292,27,blue-collar,20000,single,primary,yes,yes,,,
293,43,blue-collar,20000,married,secondary,yes,no,,,
294,34,management,100000,married,tertiary,yes,no,,,
295,36,services,70000,divorced,secondary,yes,yes,,,
296,57,self-employed,60000,married,primary,yes,yes,,,
297,30,services,70000,married,secondary,yes,yes,,,
298,37,blue-collar,20000,married,primary,yes,no,,,
299,40,blue-collar,20000,married,secondary,yes,no,,,
300,41,self-employed,60000,married,tertiary,yes,no,,,
301,57,entrepreneur,120000,divorced,secondary,yes,no,,,
302,53,management,100000,married,primary,yes,yes,,,
303,60,admin.,50000,married,secondary,yes,no,,,
304,44,admin.,50000,divorced,secondary,yes,no,,,
305,50,retired,55000,married,tertiary,yes,yes,,,
306,34,blue-collar,20000,married,secondary,yes,no,,,
307,45,blue-collar,20000,married,primary,yes,no,,,
308,39,admin.,50000,divorced,secondary,yes,yes,,,
309,57,admin.,50000,single,secondary,yes,no,,,
310,33,blue-collar,20000,married,primary,yes,no,,,
311,36,admin.,50000,married,secondary,yes,yes,,,
312,54,entrepreneur,120000,married,primary,yes,yes,,,
313,50,blue-collar,20000,married,secondary,yes,no,,,
314,41,blue-collar,20000,married,secondary,yes,no,,,
315,40,self-employed,60000,married,secondary,yes,no,,,
316,47,blue-collar,20000,married,secondary,yes,no,,,
317,45,blue-collar,20000,married,secondary,yes,no,,,
318,49,services,70000,divorced,secondary,yes,no,,,
319,43,blue-collar,20000,married,primary,yes,yes,,,
320,38,services,70000,married,secondary,yes,no,,,
321,34,entrepreneur,120000,married,primary,yes,no,,,
322,40,blue-collar,20000,married,secondary,yes,no,,,
323,38,blue-collar,20000,married,secondary,yes,yes,,,
324,47,technician,60000,married,secondary,yes,yes,,,
325,42,technician,60000,married,secondary,yes,no,,,
326,43,services,70000,married,secondary,yes,no,,,
327,34,services,70000,divorced,secondary,yes,no,,,
328,35,management,100000,single,secondary,yes,no,,,
329,44,blue-collar,20000,married,secondary,yes,yes,,,
330,32,management,100000,married,tertiary,yes,yes,,,
331,38,blue-collar,20000,married,secondary,yes,no,,,
332,36,self-employed,60000,married,secondary,yes,yes,,,
333,36,technician,60000,married,secondary,yes,no,,,
334,50,admin.,50000,married,secondary,yes,no,,,
335,44,admin.,50000,single,secondary,yes,yes,,,
336,49,management,100000,single,tertiary,yes,yes,,,
337,40,services,70000,married,secondary,yes,no,,,
338,31,blue-collar,20000,single,secondary,yes,no,,,
339,43,management,100000,divorced,tertiary,yes,no,,,
340,35,technician,60000,divorced,tertiary,yes,no,,,
341,36,management,100000,divorced,tertiary,yes,no,,,
342,45,blue-collar,20000,married,secondary,yes,no,,,
343,37,blue-collar,20000,single,secondary,yes,no,,,
344,36,services,70000,single,secondary,yes,no,,,
345,52,housemaid,16000,divorced,secondary,yes,yes,,,
346,37,blue-collar,20000,married,primary,no,no,,,
347,36,blue-collar,20000,divorced,primary,yes,no,,,
348,38,blue-collar,20000,divorced,secondary,yes,no,,,
349,32,technician,60000,single,tertiary,yes,no,,,
350,39,entrepreneur,120000,single,tertiary,no,yes,,,
351,40,technician,60000,single,secondary,yes,no,,,
352,35,management,100000,divorced,tertiary,yes,no,,,
353,45,blue-collar,20000,married,primary,yes,no,,,
354,41,admin.,50000,single,secondary,yes,yes,,,
355,38,retired,55000,married,unknown,no,no,,,
356,54,management,100000,married,tertiary,yes,yes,,,
357,39,admin.,50000,single,unknown,yes,no,,,
358,41,blue-collar,20000,married,primary,yes,no,,,
359,54,entrepreneur,120000,married,secondary,yes,no,,,
360,29,blue-collar,20000,married,secondary,yes,no,,,
361,33,blue-collar,20000,married,secondary,yes,no,,,
362,39,services,70000,married,secondary,yes,no,,,
363,29,admin.,50000,single,tertiary,yes,no,,,
364,49,admin.,50000,divorced,secondary,yes,yes,,,
365,29,technician,60000,divorced,secondary,yes,yes,,,
366,36,management,100000,married,tertiary,yes,no,,,
367,36,entrepreneur,120000,single,secondary,yes,no,,,
368,31,technician,60000,single,secondary,yes,yes,,,
369,31,self-employed,60000,married,tertiary,yes,no,,,
370,37,blue-collar,20000,divorced,primary,yes,no,,,
371,34,technician,60000,married,secondary,yes,no,,,
372,47,admin.,50000,married,secondary,yes,no,,,
373,38,blue-collar,20000,divorced,secondary,yes,no,,,
374,39,management,100000,married,tertiary,yes,no,,,
375,35,student,4000,single,tertiary,yes,no,,,
376,30,student,4000,single,secondary,yes,no,,,
377,43,management,100000,divorced,tertiary,yes,no,,,
378,28,technician,60000,single,secondary,yes,no,,,
379,38,admin.,50000,married,secondary,yes,no,,,
380,46,blue-collar,20000,married,primary,yes,no,,,
381,32,technician,60000,married,secondary,yes,no,,,
382,46,blue-collar,20000,married,primary,yes,yes,,,
383,37,services,70000,married,secondary,yes,no,,,
384,40,housemaid,16000,married,primary,yes,no,,,
385,42,services,70000,married,secondary,yes,no,,,
386,39,admin.,50000,married,secondary,yes,no,,,
387,55,management,100000,married,tertiary,yes,no,,,
388,41,services,70000,married,secondary,yes,no,,,
389,36,blue-collar,20000,married,secondary,no,no,,,
390,42,blue-collar,20000,married,secondary,yes,no,,,
391,36,services,70000,married,secondary,yes,no,,,
392,36,management,100000,single,tertiary,yes,no,,,
393,31,services,70000,single,secondary,yes,no,,,
394,47,technician,60000,divorced,unknown,yes,no,,,
395,33,services,70000,married,secondary,yes,yes,,,
396,42,admin.,50000,married,secondary,yes,no,,,
397,45,management,100000,divorced,tertiary,yes,no,,,
398,37,admin.,50000,divorced,secondary,yes,yes,,,
399,49,blue-collar,20000,married,primary,yes,no,,,
400,44,management,100000,married,tertiary,yes,no,,,
401,51,admin.,50000,single,secondary,yes,no,,,
402,31,blue-collar,20000,married,secondary,yes,no,,,
403,32,blue-collar,20000,married,primary,yes,yes,,,
404,42,blue-collar,20000,married,primary,yes,no,,,
405,41,technician,60000,married,secondary,yes,no,,,
406,60,services,70000,divorced,secondary,yes,no,,,
407,59,services,70000,married,secondary,yes,no,,,
408,41,admin.,50000,single,unknown,yes,no,,,
409,43,services,70000,divorced,unknown,yes,no,,,
410,57,blue-collar,20000,divorced,secondary,yes,no,,,
411,35,services,70000,married,secondary,yes,yes,,,
412,55,admin.,50000,married,tertiary,yes,no,,,
413,29,blue-collar,20000,single,secondary,yes,no,,,
414,30,blue-collar,20000,divorced,primary,yes,no,,,
415,39,technician,60000,single,secondary,yes,no,,,
416,44,management,100000,married,secondary,yes,no,,,
417,36,self-employed,60000,married,secondary,yes,no,,,
418,49,blue-collar,20000,married,primary,yes,yes,,,
419,29,blue-collar,20000,married,secondary,yes,no,,,
420,31,technician,60000,single,secondary,yes,no,,,
421,33,admin.,50000,married,secondary,yes,no,,,
422,51,blue-collar,20000,married,secondary,yes,no,,,
423,30,management,100000,divorced,tertiary,yes,no,,,
424,55,services,70000,married,secondary,yes,no,,,
425,33,housemaid,16000,married,secondary,yes,no,,,
426,43,services,70000,single,secondary,yes,no,,,
427,40,blue-collar,20000,single,primary,yes,yes,,,
428,24,services,70000,married,secondary,yes,no,,,
429,47,blue-collar,20000,married,secondary,yes,no,,,
430,30,self-employed,60000,single,tertiary,yes,no,,,
431,54,technician,60000,divorced,secondary,yes,no,,,
432,40,management,100000,married,tertiary,yes,yes,,,
433,45,blue-collar,20000,married,unknown,yes,no,,,
434,41,self-employed,60000,single,tertiary,yes,no,,,
435,35,blue-collar,20000,single,secondary,yes,no,,,
436,40,blue-collar,20000,married,secondary,yes,no,,,
437,40,blue-collar,20000,married,primary,yes,no,,,
438,49,blue-collar,20000,divorced,primary,yes,no,,,
439,33,blue-collar,20000,married,secondary,no,no,,,
440,40,services,70000,married,secondary,yes,no,,,
441,31,student,4000,married,tertiary,no,no,,,
442,23,student,4000,single,secondary,yes,no,,,
443,41,unemployed,8000,single,secondary,yes,no,,,
444,35,services,70000,married,secondary,yes,no,,,
445,48,services,70000,divorced,secondary,yes,no,,,
446,31,services,70000,married,secondary,yes,yes,,,
447,56,technician,60000,married,secondary,yes,yes,,,
448,34,blue-collar,20000,married,secondary,yes,no,,,
449,55,retired,55000,divorced,secondary,yes,no,,,
450,46,entrepreneur,120000,married,primary,yes,yes,,,
451,44,blue-collar,20000,single,secondary,yes,no,,,
452,43,blue-collar,20000,divorced,secondary,yes,no,,,
453,40,admin.,50000,single,secondary,yes,yes,,,
454,40,technician,60000,single,secondary,yes,yes,,,
455,39,services,70000,divorced,secondary,yes,no,,,
456,31,admin.,50000,single,secondary,yes,no,,,
457,34,technician,60000,married,tertiary,yes,no,,,
458,41,services,70000,married,unknown,yes,no,,,
459,42,technician,60000,single,secondary,yes,no,,,
460,49,blue-collar,20000,married,unknown,yes,no,,,
461,32,unemployed,8000,married,secondary,yes,no,,,
462,55,blue-collar,20000,married,secondary,yes,no,,,
463,37,services,70000,married,secondary,yes,no,,,
464,52,services,70000,divorced,secondary,yes,yes,,,
465,38,admin.,50000,single,secondary,yes,yes,,,
466,50,blue-collar,20000,married,secondary,yes,no,,,
467,44,services,70000,divorced,secondary,yes,no,,,
468,27,services,70000,single,tertiary,yes,no,,,
469,45,admin.,50000,married,primary,no,no,,,
470,58,admin.,50000,divorced,secondary,yes,no,,,
471,40,technician,60000,single,secondary,yes,yes,,,
472,51,blue-collar,20000,divorced,primary,yes,no,,,
473,51,management,100000,single,tertiary,yes,no,,,
474,37,blue-collar,20000,single,primary,yes,no,,,
475,35,admin.,50000,married,primary,yes,no,,,
476,39,blue-collar,20000,married,secondary,no,no,,,
477,43,services,70000,single,tertiary,no,no,,,
478,48,blue-collar,20000,married,primary,yes,no,,,
479,42,management,100000,married,secondary,yes,no,,,
480,41,blue-collar,20000,married,secondary,yes,no,,,
481,28,services,70000,single,secondary,yes,no,,,
482,38,management,100000,single,tertiary,yes,no,,,
483,29,technician,60000,single,tertiary,yes,no,,,
484,41,self-employed,60000,married,secondary,yes,no,,,
485,37,management,100000,married,tertiary,yes,no,,,
486,41,blue-collar,20000,married,secondary,yes,no,,,
487,29,management,100000,married,tertiary,yes,no,,,
488,34,blue-collar,20000,married,primary,yes,yes,,,
489,48,admin.,50000,divorced,secondary,yes,no,,,
490,43,services,70000,married,secondary,yes,yes,,,
491,41,blue-collar,20000,married,primary,yes,no,,,
492,40,management,100000,married,tertiary,no,no,,,
493,39,services,70000,single,secondary,yes,no,,,
494,33,housemaid,16000,married,primary,yes,no,,,
495,42,blue-collar,20000,married,secondary,yes,no,,,
496,48,unemployed,8000,divorced,secondary,yes,no,,,
497,37,unemployed,8000,single,secondary,yes,no,,,
498,32,management,100000,divorced,tertiary,yes,no,,,
499,24,blue-collar,20000,single,secondary,yes,no,,,
500,40,blue-collar,20000,married,secondary,no,no,,,
501,41,admin.,50000,married,secondary,yes,yes,,,
502,29,services,70000,single,secondary,yes,no,,,
503,36,entrepreneur,120000,married,secondary,yes,no,,,
504,55,management,100000,divorced,unknown,yes,no,,,
505,45,blue-collar,20000,divorced,primary,yes,no,,,
506,34,services,70000,single,secondary,yes,no,,,
507,44,management,100000,married,tertiary,yes,yes,,,
508,29,blue-collar,20000,married,secondary,yes,no,,,
509,36,technician,60000,single,secondary,yes,no,,,
510,42,admin.,50000,married,secondary,no,no,,,
511,47,entrepreneur,120000,married,unknown,yes,no,,,
512,37,management,100000,married,tertiary,yes,no,,,
513,39,self-employed,60000,married,secondary,no,no,,,
514,29,technician,60000,single,tertiary,yes,no,,,
515,34,admin.,50000,single,secondary,yes,no,,,
516,44,management,100000,married,tertiary,yes,no,,,
517,42,technician,60000,married,secondary,yes,no,,,
518,41,unemployed,8000,married,primary,yes,no,,,
519,42,technician,60000,married,secondary,yes,no,,,
520,35,blue-collar,20000,married,unknown,yes,no,,,
521,45,blue-collar,20000,married,primary,yes,no,,,
522,46,technician,60000,married,secondary,yes,no,,,
523,39,housemaid,16000,married,primary,yes,yes,,,
524,40,services,70000,married,secondary,yes,no,,,
525,37,admin.,50000,single,secondary,yes,no,,,
526,32,services,70000,single,secondary,no,no,,,
527,38,entrepreneur,120000,single,primary,yes,no,,,
528,34,services,70000,single,secondary,yes,no,,,
529,37,blue-collar,20000,married,secondary,yes,no,,,
530,33,blue-collar,20000,married,secondary,yes,no,,,
531,57,services,70000,married,secondary,yes,no,,,
532,52,blue-collar,20000,single,secondary,yes,no,,,
533,39,services,70000,married,secondary,yes,no,,,
534,39,blue-collar,20000,married,primary,yes,no,,,
535,50,admin.,50000,married,secondary,yes,no,,,
536,26,management,100000,married,tertiary,yes,no,,,
537,37,admin.,50000,single,secondary,yes,no,,,
538,33,management,100000,divorced,tertiary,yes,yes,,,
539,52,services,70000,divorced,secondary,yes,yes,,,
540,37,blue-collar,20000,married,secondary,yes,no,,,
541,27,blue-collar,20000,single,secondary,yes,no,,,
542,52,services,70000,married,secondary,yes,yes,,,
543,31,self-employed,60000,married,secondary,yes,no,,,
544,59,self-employed,60000,married,tertiary,yes,no,,,
545,44,management,100000,married,secondary,yes,yes,,,
546,53,blue-collar,20000,married,secondary,yes,no,,,
547,58,unemployed,8000,married,secondary,yes,no,,,
548,50,admin.,50000,divorced,secondary,yes,no,,,
549,55,management,100000,divorced,tertiary,yes,no,,,
