Job,Age,Salary,Marital,Education,Housing,Loan,Age_Bucket,,,,,,Response
retired,41,55000,divorced,primary,yes,no,4,,,,,,yes
blue-collar,41,20000,married,primary,yes,no,4,,,,,,yes
technician,42,60000,single,secondary,yes,no,4,,,,,,yes
blue-collar,46,20000,married,secondary,yes,no,4,,,,,,yes
services,32,70000,single,secondary,yes,no,3,,,,,,yes
services,36,70000,single,unknown,yes,no,3,,,,,,yes
technician,39,60000,married,tertiary,yes,yes,3,,,,,,yes
management,33,100000,married,tertiary,yes,no,3,,,,,,yes
admin.,42,50000,divorced,secondary,yes,no,4,,,,,,yes
self-employed,31,60000,single,tertiary,yes,no,3,,,,,,yes
services,40,70000,married,secondary,yes,no,4,,,,,,yes
blue-collar,26,20000,married,secondary,yes,no,2,,,,,,yes
blue-collar,45,20000,married,primary,yes,no,4,,,,,,yes
blue-collar,31,20000,married,secondary,yes,no,3,,,,,,yes
admin.,29,50000,single,secondary,yes,yes,2,,,,,,yes
technician,27,60000,single,secondary,yes,no,2,,,,,,yes
services,37,70000,divorced,secondary,yes,no,3,,,,,,yes
blue-collar,40,20000,married,primary,yes,no,4,,,,,,yes
blue-collar,33,20000,single,secondary,yes,no,3,,,,,,yes
technician,24,60000,single,secondary,yes,no,2,,,,,,yes
blue-collar,24,20000,married,primary,yes,no,2,,,,,,yes
admin.,50,50000,divorced,secondary,yes,no,5,,,,,,yes
technician,27,60000,single,tertiary,yes,no,2,,,,,,yes
management,54,100000,single,tertiary,yes,no,5,,,,,,yes
technician,30,60000,single,secondary,yes,no,3,,,,,,yes
blue-collar,34,20000,married,primary,yes,yes,3,,,,,,yes
management,37,100000,single,secondary,yes,no,3,,,,,,yes
admin.,41,50000,single,secondary,yes,no,4,,,,,,yes
blue-collar,47,20000,married,secondary,yes,no,4,,,,,,yes
admin.,31,50000,married,secondary,yes,no,3,,,,,,yes
blue-collar,31,20000,married,secondary,yes,no,3,,,,,,yes
services,43,70000,divorced,secondary,yes,no,4,,,,,,yes
management,37,100000,divorced,tertiary,yes,no,3,,,,,,yes
technician,30,60000,single,tertiary,yes,yes,3,,,,,,yes
technician,41,60000,married,secondary,yes,no,4,,,,,,yes
technician,30,60000,single,tertiary,yes,no,3,,,,,,yes
blue-collar,36,20000,married,secondary,yes,no,3,,,,,,yes
blue-collar,35,20000,divorced,secondary,yes,no,3,,,,,,yes
services,29,70000,single,secondary,yes,no,2,,,,,,yes
blue-collar,35,20000,married,primary,yes,no,3,,,,,,yes
blue-collar,31,20000,married,secondary,yes,no,3,,,,,,yes
services,35,70000,married,secondary,yes,no,3,,,,,,yes
technician,34,60000,single,secondary,yes,no,3,,,,,,yes
admin.,31,50000,single,secondary,yes,yes,3,,,,,,yes
technician,44,60000,divorced,secondary,yes,no,4,,,,,,yes
blue-collar,36,20000,married,primary,yes,yes,3,,,,,,yes
technician,39,60000,single,secondary,yes,no,3,,,,,,yes
blue-collar,35,20000,married,unknown,yes,no,3,,,,,,yes
blue-collar,41,20000,married,primary,yes,no,4,,,,,,yes
blue-collar,31,20000,married,secondary,yes,no,3,,,,,,yes
blue-collar,31,20000,single,primary,yes,no,3,,,,,,yes
blue-collar,34,20000,married,secondary,yes,no,3,,,,,,yes
technician,32,60000,married,secondary,yes,no,3,,,,,,yes
management,36,100000,married,tertiary,yes,yes,3,,,,,,yes
blue-collar,30,20000,single,secondary,yes,no,3,,,,,,yes
technician,37,60000,single,secondary,yes,no,3,,,,,,yes
management,54,100000,divorced,tertiary,yes,no,5,,,,,,yes
blue-collar,36,20000,married,primary,yes,no,3,,,,,,yes
management,31,100000,single,tertiary,yes,no,3,,,,,,yes
technician,27,60000,married,secondary,yes,yes,2,,,,,,yes
retired,34,55000,married,primary,no,no,3,,,,,,yes
services,32,70000,single,secondary,yes,no,3,,,,,,yes
technician,30,60000,single,tertiary,yes,no,3,,,,,,yes
technician,32,60000,single,tertiary,yes,no,3,,,,,,yes
technician,37,60000,single,secondary,yes,no,3,,,,,,yes
blue-collar,38,20000,married,secondary,yes,no,3,,,,,,yes
blue-collar,32,20000,married,secondary,yes,no,3,,,,,,yes
blue-collar,33,20000,married,secondary,yes,no,3,,,,,,yes
blue-collar,35,20000,married,primary,yes,no,3,,,,,,yes
self-employed,35,60000,divorced,tertiary,yes,no,3,,,,,,yes
blue-collar,30,20000,single,secondary,yes,no,3,,,,,,yes
blue-collar,30,20000,married,secondary,yes,yes,3,,,,,,yes
blue-collar,34,20000,married,secondary,yes,no,3,,,,,,yes
blue-collar,45,20000,divorced,primary,yes,no,4,,,,,,yes
admin.,45,50000,married,secondary,yes,no,4,,,,,,yes
blue-collar,33,20000,married,secondary,yes,no,3,,,,,,yes
blue-collar,33,20000,divorced,secondary,yes,no,3,,,,,,yes
management,44,100000,divorced,tertiary,no,no,4,,,,,,yes
blue-collar,40,20000,married,primary,yes,no,4,,,,,,yes
blue-collar,31,20000,married,secondary,yes,no,3,,,,,,yes
technician,30,60000,married,tertiary,yes,no,3,,,,,,yes
technician,44,60000,divorced,secondary,yes,no,4,,,,,,yes
services,34,70000,married,secondary,yes,no,3,,,,,,yes
admin.,31,50000,single,secondary,yes,no,3,,,,,,yes
blue-collar,45,20000,married,secondary,yes,no,4,,,,,,yes
blue-collar,37,20000,married,secondary,no,no,3,,,,,,yes
self-employed,28,60000,single,tertiary,yes,no,2,,,,,,yes
admin.,32,50000,single,secondary,yes,no,3,,,,,,yes
blue-collar,37,20000,divorced,secondary,yes,no,3,,,,,,yes
management,34,100000,married,tertiary,yes,no,3,,,,,,yes
admin.,38,50000,divorced,secondary,yes,no,3,,,,,,yes
admin.,28,50000,single,secondary,yes,no,2,,,,,,yes
management,31,100000,divorced,tertiary,yes,no,3,,,,,,yes
services,30,70000,married,secondary,yes,no,3,,,,,,yes
admin.,30,50000,married,secondary,yes,yes,3,,,,,,yes
services,59,70000,married,secondary,yes,no,5,,,,,,yes
blue-collar,24,20000,married,secondary,yes,no,2,,,,,,yes
services,26,70000,single,secondary,yes,no,2,,,,,,yes
retired,59,55000,single,secondary,yes,no,5,,,,,,yes
technician,53,60000,married,secondary,yes,no,5,,,,,,yes
entrepreneur,30,120000,single,primary,yes,yes,3,,,,,,yes
management,28,100000,single,tertiary,yes,no,2,,,,,,yes
admin.,37,50000,married,secondary,yes,no,3,,,,,,yes
self-employed,24,60000,single,tertiary,yes,no,2,,,,,,yes
admin.,30,50000,single,secondary,yes,yes,3,,,,,,yes
blue-collar,25,20000,married,secondary,yes,no,2,,,,,,yes
services,44,70000,divorced,secondary,yes,yes,4,,,,,,yes
management,29,100000,married,tertiary,no,no,2,,,,,,yes
management,26,100000,single,tertiary,yes,no,2,,,,,,yes
technician,26,60000,single,secondary,yes,no,2,,,,,,yes
services,27,70000,single,secondary,yes,no,2,,,,,,yes
self-employed,25,60000,single,secondary,yes,no,2,,,,,,yes
management,28,100000,married,secondary,yes,no,2,,,,,,yes
services,23,70000,single,secondary,yes,no,2,,,,,,yes
blue-collar,27,20000,single,secondary,yes,yes,2,,,,,,yes
technician,23,60000,single,tertiary,yes,no,2,,,,,,yes
technician,46,60000,married,secondary,no,no,4,,,,,,yes
student,23,4000,single,unknown,yes,no,2,,,,,,yes
retired,57,55000,married,tertiary,yes,yes,5,,,,,,yes
management,34,100000,single,tertiary,yes,no,3,,,,,,yes
student,28,4000,single,secondary,yes,no,2,,,,,,yes
entrepreneur,51,120000,married,unknown,yes,no,5,,,,,,yes
blue-collar,35,20000,married,secondary,yes,yes,3,,,,,,yes
admin.,35,50000,married,secondary,yes,no,3,,,,,,yes
blue-collar,27,20000,single,secondary,yes,no,2,,,,,,yes
blue-collar,56,20000,married,secondary,yes,no,5,,,,,,yes
unemployed,45,8000,divorced,secondary,yes,no,4,,,,,,yes
blue-collar,60,20000,divorced,secondary,yes,no,6,,,,,,yes
technician,56,60000,married,secondary,yes,no,5,,,,,,yes
blue-collar,33,20000,single,primary,yes,no,3,,,,,,yes
management,27,100000,single,tertiary,yes,no,2,,,,,,yes
admin.,30,50000,married,secondary,yes,no,3,,,,,,yes
blue-collar,45,20000,divorced,primary,yes,no,4,,,,,,yes
blue-collar,29,20000,single,secondary,yes,no,2,,,,,,yes
management,38,100000,divorced,tertiary,yes,no,3,,,,,,yes
blue-collar,34,20000,married,primary,yes,no,3,,,,,,yes
blue-collar,30,20000,married,secondary,yes,no,3,,,,,,yes
blue-collar,44,20000,single,primary,yes,no,4,,,,,,yes
management,36,100000,single,tertiary,yes,no,3,,,,,,yes
technician,40,60000,single,secondary,yes,no,4,,,,,,yes
technician,38,60000,married,secondary,yes,no,3,,,,,,yes
blue-collar,36,20000,single,secondary,yes,yes,3,,,,,,yes
management,37,100000,divorced,secondary,yes,no,3,,,,,,yes
management,35,100000,single,tertiary,yes,no,3,,,,,,yes
technician,48,60000,married,secondary,no,no,4,,,,,,yes
admin.,38,50000,divorced,secondary,yes,no,3,,,,,,yes
services,40,70000,married,primary,yes,no,4,,,,,,yes
unemployed,42,8000,divorced,secondary,yes,no,4,,,,,,yes
management,46,100000,divorced,tertiary,yes,no,4,,,,,,yes
technician,35,60000,divorced,secondary,yes,no,3,,,,,,yes
technician,34,60000,divorced,secondary,yes,no,3,,,,,,yes
self-employed,29,60000,single,tertiary,yes,no,2,,,,,,yes
services,32,70000,married,secondary,yes,no,3,,,,,,yes
unemployed,50,8000,married,secondary,yes,no,5,,,,,,yes
blue-collar,35,20000,married,secondary,yes,yes,3,,,,,,yes
technician,36,60000,single,secondary,yes,no,3,,,,,,yes
blue-collar,53,20000,divorced,primary,yes,no,5,,,,,,yes
technician,32,60000,single,secondary,yes,no,3,,,,,,yes
management,46,100000,single,tertiary,yes,no,4,,,,,,yes
management,26,100000,single,tertiary,yes,no,2,,,,,,yes
technician,45,60000,single,secondary,yes,no,4,,,,,,yes
unemployed,31,8000,divorced,primary,yes,no,3,,,,,,yes
management,29,100000,single,tertiary,yes,no,2,,,,,,yes
entrepreneur,53,120000,single,secondary,yes,no,5,,,,,,yes
blue-collar,27,20000,married,primary,yes,no,2,,,,,,yes
management,39,100000,married,tertiary,yes,no,3,,,,,,yes
services,36,70000,married,secondary,yes,no,3,,,,,,yes
blue-collar,41,20000,married,primary,yes,yes,4,,,,,,yes
services,36,70000,married,primary,yes,no,3,,,,,,yes
technician,32,60000,married,secondary,yes,no,3,,,,,,yes
services,35,70000,married,secondary,yes,no,3,,,,,,yes
management,36,100000,single,tertiary,yes,no,3,,,,,,yes
management,35,100000,married,tertiary,yes,no,3,,,,,,yes
blue-collar,30,20000,single,secondary,yes,no,3,,,,,,yes
blue-collar,42,20000,married,secondary,yes,no,4,,,,,,yes
technician,42,60000,single,secondary,yes,no,4,,,,,,yes
blue-collar,32,20000,married,primary,yes,no,3,,,,,,yes
unemployed,40,8000,married,secondary,yes,no,4,,,,,,yes
blue-collar,29,20000,single,secondary,yes,no,2,,,,,,yes
management,44,100000,divorced,tertiary,yes,no,4,,,,,,yes
technician,32,60000,single,secondary,yes,no,3,,,,,,yes
unemployed,31,8000,married,secondary,yes,yes,3,,,,,,yes
self-employed,40,60000,married,secondary,yes,yes,4,,,,,,yes
entrepreneur,43,120000,married,secondary,no,no,4,,,,,,yes
management,27,100000,single,secondary,yes,no,2,,,,,,yes
services,37,70000,single,secondary,yes,no,3,,,,,,yes
services,23,70000,single,secondary,yes,no,2,,,,,,yes
management,25,100000,married,primary,yes,no,2,,,,,,yes
blue-collar,26,20000,single,secondary,yes,no,2,,,,,,yes
blue-collar,47,20000,divorced,primary,yes,no,4,,,,,,yes
services,45,70000,single,primary,yes,no,4,,,,,,yes
admin.,35,50000,married,secondary,yes,no,3,,,,,,yes
technician,32,60000,single,tertiary,yes,no,3,,,,,,yes
management,45,100000,divorced,secondary,yes,no,4,,,,,,yes
blue-collar,24,20000,married,secondary,yes,yes,2,,,,,,yes
admin.,30,50000,divorced,secondary,yes,no,3,,,,,,yes
blue-collar,33,20000,single,secondary,yes,no,3,,,,,,yes
services,29,70000,single,secondary,yes,no,2,,,,,,yes
blue-collar,38,20000,married,primary,yes,no,3,,,,,,yes
blue-collar,23,20000,single,secondary,yes,no,2,,,,,,yes
management,27,100000,single,tertiary,yes,no,2,,,,,,yes
management,27,100000,single,tertiary,yes,no,2,,,,,,yes
services,29,70000,single,secondary,yes,no,2,,,,,,yes
self-employed,30,60000,married,tertiary,yes,yes,3,,,,,,yes
blue-collar,36,20000,married,primary,yes,no,3,,,,,,yes
blue-collar,27,20000,married,secondary,yes,no,2,,,,,,yes
admin.,35,50000,divorced,secondary,yes,no,3,,,,,,yes
unemployed,50,8000,married,primary,no,no,5,,,,,,yes
blue-collar,36,20000,married,secondary,no,no,3,,,,,,yes
retired,59,55000,married,secondary,no,no,5,,,,,,yes
retired,59,55000,divorced,primary,yes,no,5,,,,,,yes
entrepreneur,47,120000,married,secondary,no,no,4,,,,,,yes
entrepreneur,58,120000,married,tertiary,no,no,5,,,,,,yes
management,37,100000,single,tertiary,no,no,3,,,,,,yes
admin.,46,50000,single,secondary,yes,no,4,,,,,,yes
blue-collar,43,20000,single,secondary,yes,no,4,,,,,,yes
management,27,100000,single,tertiary,yes,no,2,,,,,,yes
services,38,70000,divorced,secondary,no,no,3,,,,,,yes
housemaid,53,16000,married,primary,no,yes,5,,,,,,yes
blue-collar,47,20000,married,secondary,no,no,4,,,,,,yes
housemaid,56,16000,divorced,primary,no,no,5,,,,,,yes
housemaid,41,16000,married,secondary,no,no,4,,,,,,yes
self-employed,29,60000,married,secondary,yes,no,2,,,,,,yes
self-employed,35,60000,married,secondary,yes,yes,3,,,,,,yes
admin.,38,50000,single,secondary,no,no,3,,,,,,yes
technician,50,60000,married,secondary,yes,no,5,,,,,,yes
blue-collar,45,20000,divorced,primary,no,no,4,,,,,,yes
blue-collar,35,20000,married,secondary,yes,no,3,,,,,,yes
housemaid,35,16000,single,secondary,yes,no,3,,,,,,yes
self-employed,39,60000,married,tertiary,no,no,3,,,,,,yes
technician,26,60000,single,secondary,yes,no,2,,,,,,yes
admin.,26,50000,married,secondary,yes,yes,2,,,,,,yes
blue-collar,37,20000,married,unknown,no,yes,3,,,,,,yes
admin.,30,50000,single,secondary,yes,no,3,,,,,,yes
management,38,100000,single,tertiary,yes,no,3,,,,,,yes
technician,28,60000,single,secondary,yes,no,2,,,,,,yes
self-employed,54,60000,divorced,primary,yes,no,5,,,,,,yes
blue-collar,41,20000,married,primary,yes,no,4,,,,,,yes
services,37,70000,divorced,secondary,yes,no,3,,,,,,yes
technician,53,60000,married,secondary,no,no,5,,,,,,yes
blue-collar,29,20000,single,primary,yes,no,2,,,,,,yes
management,35,100000,single,tertiary,no,no,3,,,,,,yes
admin.,47,50000,divorced,secondary,yes,no,4,,,,,,yes
blue-collar,28,20000,married,secondary,yes,no,2,,,,,,yes
self-employed,36,60000,married,secondary,yes,no,3,,,,,,yes
blue-collar,55,20000,married,unknown,no,no,5,,,,,,yes
management,49,100000,divorced,secondary,yes,no,4,,,,,,yes
services,50,70000,married,secondary,no,no,5,,,,,,yes
management,43,100000,single,tertiary,no,no,4,,,,,,yes
self-employed,58,60000,divorced,tertiary,no,no,5,,,,,,yes
technician,38,60000,married,primary,yes,no,3,,,,,,yes
blue-collar,48,20000,divorced,primary,no,no,4,,,,,,yes
management,59,100000,married,secondary,no,no,5,,,,,,yes
technician,38,60000,divorced,tertiary,no,no,3,,,,,,yes
blue-collar,58,20000,married,secondary,no,no,5,,,,,,yes
blue-collar,52,20000,married,secondary,yes,no,5,,,,,,yes
self-employed,36,60000,single,tertiary,no,no,3,,,,,,yes
entrepreneur,42,120000,married,tertiary,no,no,4,,,,,,yes
admin.,41,50000,single,secondary,no,yes,4,,,,,,yes
admin.,42,50000,married,secondary,no,no,4,,,,,,yes
management,39,100000,married,tertiary,no,yes,3,,,,,,yes
housemaid,57,16000,married,primary,no,yes,5,,,,,,yes
retired,51,55000,married,secondary,no,no,5,,,,,,yes
retired,52,55000,married,unknown,no,no,5,,,,,,yes
retired,59,55000,married,unknown,no,no,5,,,,,,yes
blue-collar,56,20000,married,secondary,no,no,5,,,,,,yes
management,49,100000,married,tertiary,no,no,4,,,,,,yes
blue-collar,35,20000,divorced,unknown,no,no,3,,,,,,yes
unemployed,36,8000,married,secondary,no,no,3,,,,,,yes
admin.,40,50000,single,tertiary,no,no,4,,,,,,yes
management,37,100000,single,tertiary,no,no,3,,,,,,yes
blue-collar,55,20000,married,secondary,no,no,5,,,,,,yes
admin.,58,50000,married,secondary,no,no,5,,,,,,yes
self-employed,39,60000,married,tertiary,no,no,3,,,,,,yes
housemaid,47,16000,single,tertiary,no,no,4,,,,,,yes
management,40,100000,married,secondary,yes,no,4,,,,,,yes
blue-collar,35,20000,married,tertiary,no,no,3,,,,,,yes
blue-collar,48,20000,married,secondary,yes,no,4,,,,,,yes
admin.,27,50000,single,secondary,yes,no,2,,,,,,yes
management,48,100000,divorced,tertiary,no,yes,4,,,,,,yes
blue-collar,24,20000,single,secondary,yes,no,2,,,,,,yes
blue-collar,49,20000,married,primary,yes,no,4,,,,,,yes
blue-collar,36,20000,married,secondary,yes,no,3,,,,,,yes
retired,52,55000,divorced,tertiary,yes,yes,5,,,,,,yes
blue-collar,38,20000,married,secondary,no,no,3,,,,,,yes
entrepreneur,42,120000,single,unknown,no,no,4,,,,,,yes
services,36,70000,married,secondary,no,no,3,,,,,,yes
blue-collar,36,20000,divorced,secondary,yes,no,3,,,,,,yes
unemployed,48,8000,single,tertiary,no,no,4,,,,,,yes
management,51,100000,single,secondary,yes,no,5,,,,,,yes
blue-collar,51,20000,married,secondary,no,yes,5,,,,,,yes
technician,46,60000,married,secondary,yes,no,4,,,,,,yes
management,37,100000,married,tertiary,no,no,3,,,,,,yes
entrepreneur,36,120000,married,tertiary,no,no,3,,,,,,yes
management,47,100000,married,secondary,no,no,4,,,,,,yes
technician,40,60000,divorced,tertiary,no,no,4,,,,,,yes
management,56,100000,divorced,tertiary,yes,no,5,,,,,,yes
technician,38,60000,single,tertiary,no,no,3,,,,,,yes
student,38,4000,single,tertiary,no,no,3,,,,,,yes
management,40,100000,married,secondary,no,no,4,,,,,,yes
blue-collar,39,20000,married,primary,yes,no,3,,,,,,yes
management,60,100000,married,tertiary,no,no,6,,,,,,yes
retired,51,55000,married,primary,no,no,5,,,,,,yes
self-employed,39,60000,single,tertiary,no,no,3,,,,,,yes
services,51,70000,divorced,secondary,no,no,5,,,,,,yes
admin.,27,50000,married,secondary,yes,no,2,,,,,,yes
management,41,100000,single,tertiary,no,no,4,,,,,,yes
blue-collar,42,20000,single,primary,no,no,4,,,,,,yes
blue-collar,35,20000,married,unknown,no,no,3,,,,,,yes
entrepreneur,41,120000,married,secondary,no,no,4,,,,,,yes
technician,33,60000,married,secondary,yes,yes,3,,,,,,yes
admin.,46,50000,married,secondary,no,no,4,,,,,,yes
housemaid,44,16000,single,primary,no,no,4,,,,,,yes
blue-collar,31,20000,married,secondary,yes,no,3,,,,,,yes
admin.,51,50000,single,secondary,no,no,5,,,,,,yes
management,32,100000,married,tertiary,yes,no,3,,,,,,yes
blue-collar,41,20000,married,primary,no,yes,4,,,,,,yes
blue-collar,41,20000,divorced,secondary,no,no,4,,,,,,yes
admin.,57,50000,single,secondary,yes,no,5,,,,,,yes
retired,55,55000,divorced,secondary,no,yes,5,,,,,,yes
technician,53,60000,married,secondary,no,no,5,,,,,,yes
housemaid,55,16000,married,primary,no,no,5,,,,,,yes
services,39,70000,married,secondary,yes,no,3,,,,,,yes
management,36,100000,married,tertiary,no,no,3,,,,,,yes
entrepreneur,40,120000,married,tertiary,no,no,4,,,,,,yes
retired,59,55000,married,primary,no,no,5,,,,,,yes
retired,52,55000,divorced,tertiary,yes,no,5,,,,,,yes
blue-collar,42,20000,single,secondary,no,no,4,,,,,,yes
technician,45,60000,married,tertiary,yes,no,4,,,,,,yes
blue-collar,41,20000,married,primary,no,no,4,,,,,,yes
blue-collar,27,20000,married,secondary,yes,no,2,,,,,,yes
blue-collar,25,20000,single,secondary,yes,no,2,,,,,,yes
unemployed,43,8000,married,primary,no,no,4,,,,,,yes
retired,60,55000,married,secondary,no,no,6,,,,,,yes
management,48,100000,married,tertiary,yes,no,4,,,,,,yes
services,44,70000,married,secondary,no,yes,4,,,,,,yes
blue-collar,26,20000,single,secondary,yes,no,2,,,,,,yes
retired,52,55000,married,tertiary,no,no,5,,,,,,yes
technician,50,60000,divorced,secondary,no,no,5,,,,,,yes
services,54,70000,married,unknown,no,yes,5,,,,,,yes
management,56,100000,married,tertiary,no,yes,5,,,,,,yes
management,57,100000,married,tertiary,no,yes,5,,,,,,yes
technician,42,60000,married,tertiary,no,no,4,,,,,,yes
blue-collar,29,20000,single,secondary,yes,no,2,,,,,,yes
technician,47,60000,married,tertiary,no,yes,4,,,,,,yes
management,57,100000,married,tertiary,yes,yes,5,,,,,,yes
blue-collar,40,20000,married,secondary,yes,yes,4,,,,,,yes
blue-collar,38,20000,single,tertiary,yes,no,3,,,,,,yes
services,46,70000,divorced,secondary,no,no,4,,,,,,yes
services,49,70000,divorced,secondary,no,no,4,,,,,,yes
blue-collar,43,20000,single,secondary,yes,no,4,,,,,,yes
management,45,100000,married,tertiary,no,no,4,,,,,,yes
management,24,100000,married,secondary,yes,no,2,,,,,,yes
admin.,53,50000,married,secondary,no,no,5,,,,,,yes
blue-collar,40,20000,married,secondary,yes,yes,4,,,,,,yes
services,38,70000,divorced,unknown,no,no,3,,,,,,yes
unemployed,36,8000,married,tertiary,no,no,3,,,,,,yes
blue-collar,27,20000,single,secondary,no,no,2,,,,,,yes
admin.,26,50000,single,primary,yes,no,2,,,,,,yes
management,43,100000,married,tertiary,yes,no,4,,,,,,yes
blue-collar,25,20000,single,primary,yes,no,2,,,,,,yes
blue-collar,27,20000,married,tertiary,yes,no,2,,,,,,yes
technician,30,60000,married,tertiary,yes,yes,3,,,,,,yes
admin.,28,50000,single,secondary,no,yes,2,,,,,,yes
